"subj","cue_pred","block","trial","cond","exp_name","cue_delay","targ_right","cue_valid","targ_soa","shutter_dur","trial_start","trial_end","cue_rt","corr_resp","rt.x","block_date","block_time","block_order","Cond","CondFull","CuePred","CuePredFull","CueValid","cue_valid_c","cue_pred_c","RT","trial_sample_beg","trial_time_beg","trial_sample_end","trial_time_end","cue_sample","cue_time","blink_latency_sample","blink_latency_time","blink_window_sample","blink_window_time","targ_sample","targ_time","resp_sample","resp_time","shutter_sample_beg","shutter_time_beg","shutter_sample_end","shutter_time_end","cue_resp_sample","cue_resp_time","tot_trial_samples","tot_trial_time","samples_per_s","sacc_num","sacc_R","sacc_bef_targ","xr_pre_cue_ave","xr_pre_eb_ave","xr_post_eb_ave","xr_pre_targ_ave","xr_post_targ_ave","xr_post_resp_ave","blank_sample_beg","blank_sample_end","tot_blank_samples","blank_time_beg","blank_time_end","tot_blank_time","blank_post_cue","blank_post_targ","rt.y","nonart","excl_reason"
1,1,1,17,"a","eb3",0.361,0,1,0.9,0.244807807433235,227.772388219833,230.422367095947,0.289999961853027,1,0.310003995895386,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,310.003995895386,5339587,227.77,5342237,230.42,5339948,228.13,5340838,229.02,5340838,229.02,5340838,229.02,5341158,229.34,5340488,228.67,5340238,228.42,5340238,228.42,2650,2.64999999999998,1000.00000000001,NA,NA,NA,0.847954001186951,1.03607331794179,0.447486738675116,0.784958324816607,0.347833837480711,-0.451577998479795,5340244,5340486,244,0.657,0.899,0.242,1,0,1.56999999999999,0,NA
1,1,1,17,"v","eb3",0.371,1,1,0.9,0,212.564564943314,214.454574108124,0,1,0.319995880126953,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,319.995880126953,3959508,212.56,3961398,214.45,3959879,212.93,3960779,213.83,3960779,213.83,3960779,213.83,3961109,214.16,NA,NA,NA,NA,NA,NA,1890,1.88999999999999,1000.00000000001,NA,NA,NA,0.67643932683791,0.587353731505047,0.403367047086411,0.445403330700054,0.416047096295103,0.518752255355444,3960088,3960270,184,0.58,0.762,0.182,1,0,1.59999999999999,1,NA
1,1,1,18,"a","eb3",0.476,0,1,0.9,0.260346345115242,231.262398004532,234.352421998978,0.350029945373535,1,0.379963159561157,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,379.963159561157,5343077,231.26,5346167,234.35,5343548,231.73,5344438,232.62,5344438,232.62,5344438,232.62,5344829,233.01,5344168,232.35,5343898,232.08,5343898,232.08,3090,3.09,999.999999999999,NA,NA,NA,0.0109449976589039,0.180585986667288,-0.221324431750852,0.0824092116917626,-0.297578221404616,-0.303849536817551,5343904,5344166,264,0.827,1.089,0.262,1,0,1.75,0,NA
1,1,1,18,"v","eb3",0.386,1,0,0.9,0,215.294472932816,217.234409093857,0,1,0.359955072402954,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Invalid",-1,1,359.955072402954,3962238,215.29,3964178,217.23,3962619,215.67,3963519,216.57,3963519,216.57,3963519,216.57,3963889,216.94,NA,NA,NA,NA,NA,NA,1940,1.94,1000,NA,NA,NA,0.726247416592855,0.787174490699734,0.632760826554541,0.833497359183807,0.424596429910867,0.53205885247515,3962920,3963118,200,0.682,0.88,0.198,1,0,1.65000000000001,1,NA
1,1,1,19,"a","eb3",0.318,0,0,0.9,0.300201286316336,235.19239115715,237.742421150208,0.290026903152466,1,0.339948892593384,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,339.948892593384,5347007,235.19,5349557,237.74,5347318,235.5,5348208,236.39,5348208,236.39,5348208,236.39,5348559,236.74,5347918,236.1,5347608,235.79,5347608,235.79,2550,2.55000000000001,999.999999999996,NA,NA,NA,0.379764578170247,0.466029708577154,0.259121008899574,0.393579302434347,0.229414990088152,-0.166157562857762,5347614,5347924,312,0.607,0.917,0.31,1,0,1.55000000000001,0,NA
1,1,1,19,"v","eb3",0.479,0,0,0.9,0,218.074361085892,220.004357099533,0,1,0.32000994682312,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Invalid",-1,1,320.00994682312,3965018,218.07,3966948,220,3965489,218.54,3966389,219.44,3966389,219.44,3966389,219.44,3966719,219.77,NA,NA,NA,NA,NA,NA,1930,1.93000000000001,999.999999999996,NA,NA,NA,0.568615293770298,0.420569999478977,0.526439444310004,0.425801166869959,0.653049538789131,0.596631081690053,3965710,3965890,182,0.692,0.872,0.18,1,0,1.70000000000002,1,NA
1,1,1,2,"v","eb3",0.391,0,1,0.9,0,167.267560958862,169.497343063354,0,1,0.349958896636963,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,349.958896636963,3914208,167.27,3916438,169.5,3914599,167.66,3915499,168.56,3915499,168.56,3915499,168.56,3915859,168.92,NA,NA,NA,NA,NA,NA,2230,2.22999999999999,1000,NA,NA,NA,-0.385887215825214,-0.27359511859069,0.0688883401783712,-0.0389851440587036,0.0428435521438178,0.46741918775534,3914884,3915002,120,0.676,0.794,0.118,1,0,1.64999999999998,1,NA
1,1,1,20,"a","eb3",0.371,1,1,0.9,0.242554245190231,238.582509040833,240.492551088333,0.599963903427124,1,0.339845895767212,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,339.845895767212,5350397,238.58,5352307,240.49,5350768,238.95,5351658,239.84,5351658,239.84,5351658,239.84,5352008,240.19,5351618,239.8,5351368,239.55,5351368,239.55,1910,1.91,1000,NA,NA,NA,0.280871901775356,0.440407632069529,0.256845795353044,0.440407632069529,0.285795248227672,0.0737323718996637,5351374,5351616,244,0.977,1.219,0.242,1,0,1.60999999999999,0,NA
1,1,1,20,"v","eb3",0.5,0,1,0.9,0,220.844231128693,222.864063978195,0,1,0.339948177337646,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,339.948177337646,3967788,220.84,3969808,222.86,3968289,221.34,3969189,222.24,3969189,222.24,3969189,222.24,3969539,222.59,NA,NA,NA,NA,NA,NA,2020,2.02000000000001,999.999999999995,NA,NA,NA,0.218216710953646,0.387587428606335,0.743904405561229,0.56876048201279,0.858003289889915,0.784584605757748,3968514,3968706,194,0.726,0.918,0.192,1,0,1.75,1,NA
1,1,1,21,"a","eb3",0.37,1,1,0.9,0.268397317982431,241.332513093948,244.342548131943,0.320003032684326,1,0.269967079162598,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,269.967079162598,5353147,241.33,5356157,244.34,5353508,241.69,5354398,242.58,5354398,242.58,5354398,242.58,5354679,242.86,5354098,242.28,5353828,242.01,5353828,242.01,3010,3.00999999999999,1000,NA,NA,NA,0.118396841160349,0.223719287356768,0.143868752455545,0.220584588131089,0.0850731789615758,0.298167249222994,5353834,5354096,264,0.687,0.949,0.262,1,0,1.53,0,NA
1,1,1,21,"v","eb3",0.441,1,1,0.9,0,223.704036951065,225.643908977509,0,1,0.309983015060425,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,309.983015060425,3970648,223.7,3972588,225.64,3971089,224.14,3971989,225.04,3971989,225.04,3971989,225.04,3972309,225.36,NA,NA,NA,NA,NA,NA,1940,1.94,1000,NA,NA,NA,0.664452317685267,0.684095945389125,0.732251620839096,0.562771592131779,1.0205196338943,1.05135377968661,3971322,3971500,180,0.674,0.852,0.178,1,0,1.66000000000003,1,NA
1,1,1,22,"a","eb3",0.487,0,1,0.9,0.185889867252408,245.182530164719,247.232564210892,0.340009212493896,1,0.319976091384888,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,319.976091384888,5356997,245.18,5359047,247.23,5357478,245.66,5358368,246.55,5358368,246.55,5358368,246.55,5358699,246.88,5358008,246.19,5357818,246,5357818,246,2050,2.04999999999998,1000.00000000001,NA,NA,NA,0.349315415745885,0.5318253666982,0.704081759401787,0.711248892825509,0.538189691422641,0.685616742853846,5357824,5358006,184,0.827,1.009,0.182,1,0,1.69999999999999,0,NA
1,1,1,22,"v","eb3",0.399,0,1,0.9,0,226.463861942291,228.323740959167,0,1,0.309875965118408,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,309.875965118408,3973408,226.46,3975268,228.32,3973799,226.85,3974699,227.75,3974699,227.75,3974699,227.75,3975019,228.07,NA,NA,NA,NA,NA,NA,1860,1.85999999999999,1000.00000000001,NA,NA,NA,0.490374963094184,0.558545872983428,0.239166658182571,0.338265402430702,0.283805727782699,0.499085688162519,3974084,3974248,166,0.676,0.84,0.164,1,0,1.60999999999999,1,NA
1,1,1,23,"a","eb3",0.325,1,1,0.9,0.271420514298109,248.07257604599,251.222521066666,0.280004024505615,1,0.290006160736084,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,290.006160736084,5359887,248.07,5363037,251.22,5360208,248.39,5361098,249.28,5361098,249.28,5361098,249.28,5361398,249.58,5360768,248.95,5360488,248.67,5360488,248.67,3150,3.15000000000001,999.999999999998,NA,NA,NA,0.998112211575453,0.876276562724747,0.453532656602796,0.718461343793496,0.349817601052584,1.81686036914306,5360494,5360766,274,0.607,0.879,0.272,1,0,1.51000000000002,0,NA
1,1,1,23,"v","eb3",0.408,0,1,0.9,0,229.163689136505,231.093652963638,0,1,0.329996109008789,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,329.996109008789,3976108,229.16,3978038,231.09,3976509,229.56,3977409,230.46,3977409,230.46,3977409,230.46,3977749,230.8,NA,NA,NA,NA,NA,NA,1930,1.93000000000001,999.999999999996,NA,NA,NA,0.43436669619132,0.496394192120718,0.703559784247804,0.531541196635164,0.887076885670123,1.06501984712791,3976762,3976930,170,0.654,0.822,0.168,1,0,1.64000000000001,1,NA
1,1,1,24,"a","eb3",0.378,1,0,0.9,0.182322437019514,252.062527179718,255.222642183304,0.270038843154907,1,0.329998970031738,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,329.998970031738,5363877,252.06,5367037,255.22,5364248,252.43,5365138,253.32,5365138,253.32,5365138,253.32,5365479,253.66,5364708,252.89,5364518,252.7,5364518,252.7,3160,3.16,1000,NA,NA,NA,0.536453999695807,0.529440296933654,0.252135461477096,0.48298260081651,0.0416471282933014,1.56390339222725,5364524,5364706,184,0.647,0.829,0.182,1,0,1.59999999999999,0,NA
1,1,1,24,"v","eb3",0.411,1,1,0.9,0,231.933536052704,233.883467912674,0,1,0.290002822875977,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,290.002822875977,3978878,231.93,3980828,233.88,3979289,232.34,3980189,233.24,3980189,233.24,3980189,233.24,3980489,233.54,NA,NA,NA,NA,NA,NA,1950,1.94999999999999,1000.00000000001,NA,NA,NA,0.763891349276646,0.825866342582103,0.680631074822831,0.732752852091704,0.663478004133451,0.485863980447342,3979512,3979708,198,0.634,0.83,0.196,1,0,1.60999999999999,1,NA
1,1,1,25,"a","eb3",0.342,0,1,0.9,0.269180713129876,256.062627077103,258.062597036362,0.500015020370483,1,0.359970092773438,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,359.970092773438,5367877,256.06,5369877,258.06,5368218,256.4,5369108,257.29,5369108,257.29,5369108,257.29,5369479,257.66,5368988,257.17,5368718,256.9,5368718,256.9,2000,2,1000,NA,NA,NA,0.238612878116864,0.329375469045287,0.197462009964924,0.347587835842929,0.155124123237498,0.118721745723005,5368724,5368986,264,0.847,1.109,0.262,1,0,1.60000000000002,0,NA
1,1,1,25,"v","eb3",0.396,1,1,0.9,0,234.72340297699,236.543432950974,0,1,0.299961090087891,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,299.961090087891,3981668,234.72,3983488,236.54,3982059,235.11,3982959,236.01,3982959,236.01,3982959,236.01,3983269,236.32,NA,NA,NA,NA,NA,NA,1820,1.81999999999999,1000,NA,NA,NA,0.301801003838205,0.250282944592068,0.221922908934746,0.189210293226423,0.30364677086012,0.554277959711038,3982302,3982468,168,0.634,0.8,0.166,1,0,1.59999999999999,1,NA
1,1,1,26,"a","eb3",0.442,1,1,0.9,0.235370981602829,258.902739048004,261.782742023468,0.290006875991821,1,0.279994964599609,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,279.994964599609,5370717,258.9,5373597,261.78,5371158,259.34,5372048,260.23,5372048,260.23,5372048,260.23,5372339,260.52,5371688,259.87,5371448,259.63,5371448,259.63,2880,2.88,1000,NA,NA,NA,0.55047075419086,0.73046895797335,0.328540940682009,0.619014990724802,0.136526068232491,0.418578255358194,5371454,5371686,234,0.737,0.969,0.232,1,0,1.62,0,NA
1,1,1,26,"v","eb3",0.306,0,0,0.9,0,237.383347988129,239.153331041336,0,1,0.329959869384766,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Invalid",-1,1,329.959869384766,3984328,237.38,3986098,239.15,3984629,237.68,3985529,238.58,3985529,238.58,3985529,238.58,3985869,238.92,NA,NA,NA,NA,NA,NA,1770,1.77000000000001,999.999999999994,NA,NA,NA,0.566666666666667,0.619713336924992,0.255833981485344,0.430444838106486,0.167647927195679,0.46203492196686,3984874,3985072,200,0.546,0.744,0.198,1,0,1.53999999999999,1,NA
1,1,1,27,"a","eb3",0.412,1,0,0.9,0.320680495327569,262.622667074203,264.462745189667,0.310082912445068,1,0.309842824935913,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,309.842824935913,5374437,262.62,5376277,264.46,5374848,263.03,5375738,263.92,5375738,263.92,5375738,263.92,5376058,264.24,5375488,263.67,5375158,263.34,5375158,263.34,1840,1.83999999999997,1000.00000000001,NA,NA,NA,0.385729154551121,0.526299308407369,0.316861492926841,0.503745511222801,0.237887000425229,0.271789329411159,5375164,5375496,334,0.727,1.059,0.332,1,0,1.62,0,NA
1,1,1,27,"v","eb3",0.432,1,0,0.9,0,239.993263959885,241.903126955032,0,1,0.339919090270996,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Invalid",-1,1,339.919090270996,3986938,239.99,3988848,241.9,3987369,240.42,3988269,241.32,3988269,241.32,3988269,241.32,3988618,241.67,NA,NA,NA,NA,NA,NA,1910,1.91,1000,NA,NA,NA,0.502066725715973,0.497705688416494,0.849034151272545,0.669531496962508,0.94714747733898,0.85230421788158,3987612,3987820,210,0.674,0.882,0.208,1,0,1.67999999999998,1,NA
1,1,1,28,"a","eb3",0.469,0,0,0.9,0.179564442831842,265.302722215652,268.822738170624,0.309990882873535,1,0.360063076019287,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,360.063076019287,5377117,265.3,5380637,268.82,5377578,265.76,5378468,266.65,5378468,266.65,5378468,266.65,5378839,267.02,5378068,266.25,5377888,266.07,5377888,266.07,3520,3.51999999999998,1000.00000000001,NA,NA,NA,0.225192581259897,0.301710640506035,0.0350235139751435,0.22943157536543,-0.0839776889378307,1.39995753896852,5377894,5378066,174,0.777,0.949,0.172,1,0,1.71999999999997,0,NA
1,1,1,28,"v","eb3",0.426,0,1,0.9,0,242.743089914322,244.63301897049,0,1,0.329989910125732,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,329.989910125732,3989688,242.74,3991578,244.63,3990109,243.16,3991009,244.06,3991009,244.06,3991009,244.06,3991349,244.4,NA,NA,NA,NA,NA,NA,1890,1.88999999999999,1000.00000000001,NA,NA,NA,0.457012105107765,0.375537184660303,0.823406174292521,0.599009413784603,0.938831865784401,1.13750200715843,3990376,3990544,170,0.688,0.856,0.168,1,0,1.66,1,NA
1,1,1,29,"a","eb3",0.456,1,1,0.9,0.270508683203897,269.662766218185,271.762803077698,0.330011129379272,1,0.369951009750366,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,369.951009750366,5381477,269.66,5383577,271.76,5381928,270.11,5382818,271,5382818,271,5382818,271,5383199,271.38,5382538,270.72,5382258,270.44,5382258,270.44,2100,2.09999999999997,1000.00000000002,NA,NA,NA,-0.179056582953837,0.0479463732498328,-0.294493350927616,-0.036381603128408,-0.371311360775721,-0.110928339449154,5382264,5382536,274,0.787,1.059,0.272,1,0,1.71999999999997,0,NA
